Overall Qual,Overall Cond,Year Built,Total Bsmt SF,Total Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Garage Area,SalePrice
6,5,1960,1080,1656,1,0,3,7,528,215000
5,6,1961,882,896,1,0,2,5,730,105000
6,6,1958,1329,1329,1,1,3,6,312,172000
7,5,1968,2110,2110,2,1,3,8,522,244000
5,5,1997,928,1629,2,1,3,6,482,189900
6,6,1998,926,1604,2,1,3,7,470,195500
7,5,1999,994,1804,2,1,3,7,442,189000
6,5,1993,763,1655,2,1,3,7,440,175900
6,5,1998,789,1465,2,1,3,7,393,180400
7,5,1990,1300,1341,1,1,2,5,506,171500
8,5,2003,1650,3279,3,1,4,12,841,538000
8,7,1988,559,1752,2,0,4,8,492,164000
9,2,2010,1856,1856,1,1,1,8,834,394432
4,5,1951,864,864,1,0,2,4,400,141000
6,6,1978,1542,2073,2,0,3,7,500,210000
6,6,1977,1844,1844,2,0,3,7,546,190000
7,6,1974,1053,1173,2,0,3,6,528,170000
5,6,1968,1056,1056,1,0,3,6,304,142000
4,5,1970,882,882,1,0,2,4,525,126000
4,5,1971,864,864,1,0,3,5,0,115000
9,5,2009,1590,2334,2,1,3,10,751,376162
8,5,2007,1704,1704,2,0,3,7,772,306000
9,5,2009,1930,1940,2,1,3,8,606,395192
8,5,2009,1544,1544,2,0,3,7,868,290941
7,5,2005,1541,1541,2,0,3,7,532,220000
9,5,2005,1698,1698,2,0,3,7,730,275000
8,5,2005,1822,1822,2,0,3,8,678,259000
7,5,2004,1517,1535,2,0,3,7,532,214000
9,5,2009,2330,2364,2,1,2,11,820,611657
9,5,2003,2846,2696,2,1,3,10,958,500000
8,5,2002,1671,2250,2,1,3,7,756,320000
6,5,2005,1324,1324,2,0,3,6,430,199500
7,5,2004,384,1374,2,1,3,7,400,184500
7,5,2004,847,1733,2,1,3,7,433,185088
9,5,1999,1393,2599,2,1,4,10,779,333168
8,5,1998,1629,2475,2,1,4,7,962,355000
7,5,1996,1720,1720,2,0,3,7,527,260400
8,5,1994,1463,2622,2,1,3,9,712,325000
8,7,1999,1152,2270,2,1,4,9,671,290000
7,5,1998,1195,1839,2,1,4,7,486,221000
8,5,1995,2033,3238,2,1,4,9,666,410000
8,5,2005,1595,1595,2,0,2,6,880,221500
7,5,2009,1218,1218,2,0,2,4,676,204500
7,5,2009,756,1547,2,1,3,7,614,215200
8,5,2008,1566,1566,2,0,3,7,750,262500
7,5,2004,991,1947,2,1,3,8,678,254900
6,5,2005,1468,1468,2,0,2,6,528,271500
7,5,2004,956,2084,2,1,4,8,618,233000
7,5,2004,831,1659,2,1,3,8,484,181000
6,5,1992,1055,1845,2,1,3,8,462,189000
6,5,1984,1040,1097,2,0,3,6,480,152000
6,6,1980,650,1564,2,1,3,7,476,171000
5,7,1961,1109,1155,1,0,3,6,576,148000
5,8,1965,894,894,1,0,3,5,336,138500
5,5,1963,1040,1040,1,1,3,5,308,133000
6,6,1974,1208,1494,2,0,3,7,461,169000
7,5,1992,750,1923,2,1,3,8,564,190000
8,5,1993,1231,2349,2,1,4,9,762,362500
8,5,1992,1390,2225,2,1,4,7,713,285000
8,5,2010,1642,1418,1,1,1,6,852,267916
8,5,2000,975,1848,2,1,3,7,592,254000
7,5,2002,1492,1492,2,0,3,6,596,230000
6,5,1993,1280,2495,2,1,4,9,660,243500
7,5,1988,980,1714,2,1,3,7,496,196500
6,7,1972,1161,1381,1,1,3,5,676,197500
6,6,1971,715,1645,1,2,4,7,441,171000
5,5,1966,1232,1232,1,1,3,6,490,142250
4,5,1959,950,1225,1,1,3,6,0,128950
5,5,1966,1209,1209,1,0,3,6,504,159000
5,6,1967,1510,1510,2,0,3,6,517,178900
6,7,1963,936,1054,1,0,3,6,480,137500
5,6,1950,1078,1078,1,0,2,5,240,142125
5,7,1952,1140,2461,2,0,3,7,400,197600
6,6,1949,782,1556,2,0,3,6,470,172500
5,7,1958,858,858,1,0,2,4,0,116500
3,2,1940,728,1306,1,0,3,6,0,76500
5,5,1954,1056,1063,1,0,3,6,280,128000
6,6,1955,1156,1520,1,0,3,7,364,153000
5,6,1954,1268,1268,1,0,2,7,244,132000
6,8,1966,1080,1128,1,0,2,5,315,178000
6,6,1966,1517,1888,2,1,2,6,578,190000
7,5,2003,1480,1480,2,0,3,7,620,214000
5,5,1959,1398,1700,1,1,4,6,447,165500
5,6,1957,1314,1314,1,0,3,5,294,145000
6,6,1959,1194,1194,1,0,3,6,312,148000
5,5,1960,1268,1264,1,0,3,6,461,167500
5,5,1959,1206,1206,1,0,3,6,312,108538
6,5,1959,1244,1580,1,1,3,6,440,159500
4,5,1956,832,1337,1,0,3,5,263,108000
5,7,1952,864,1064,1,0,2,4,318,135000
5,6,1955,972,972,1,0,3,5,305,122500
5,7,1953,1057,1057,1,0,3,5,246,109000
4,7,1920,576,985,1,0,2,4,676,105000
5,7,1955,0,827,1,0,2,5,392,107500
5,7,1954,1086,1086,1,0,3,6,490,144900
5,7,1956,936,936,1,0,2,4,308,129000
6,5,1948,912,1458,1,0,3,6,330,97500
7,7,1967,710,2978,2,1,5,11,564,242000
6,8,1948,816,1224,1,0,3,5,280,132000
5,7,1959,1246,1246,1,1,3,6,305,154000
5,4,1952,910,1385,2,0,4,6,720,166000
5,7,1951,900,900,1,0,3,5,576,134800
6,6,1962,1116,1116,1,1,3,5,440,160000
5,6,1960,1175,1175,1,1,3,6,484,148000
6,7,1963,1395,1395,1,0,2,7,440,192000
6,5,1966,756,1839,1,1,4,7,442,155000
4,5,1900,709,1844,1,0,3,9,240,80400
4,7,1910,576,1140,1,0,3,7,0,96500
5,7,1920,936,936,1,0,2,5,0,109500
5,6,1927,1008,1028,1,0,2,5,360,115000
5,7,1957,1347,1347,1,0,3,6,551,143000
4,6,1945,747,747,1,0,2,4,220,80000
5,7,1940,788,804,1,0,2,4,240,119000
5,7,1929,926,1316,1,0,3,6,484,130000
6,7,1938,827,1251,1,0,3,6,240,119000
5,7,1948,1027,1633,1,0,3,7,240,129000
6,8,1928,624,720,1,0,2,5,484,105900
5,6,1915,686,1652,2,0,4,7,416,139000
8,9,1890,346,2268,3,0,3,7,624,240000
6,7,1957,912,1236,1,0,2,6,923,149700
4,7,1910,622,1363,1,0,3,6,528,125500
6,7,1922,738,1470,1,1,2,6,624,140750
5,6,1950,988,1612,1,1,3,7,363,128500
6,7,1939,608,1132,1,0,2,5,240,134000
6,6,1940,572,1196,1,1,3,6,576,128000
5,6,1942,835,1453,1,1,3,7,240,132000
6,7,1948,780,1416,1,1,3,6,312,139900
5,7,1936,528,1040,1,0,2,5,624,123900
5,5,1930,928,1536,2,0,4,7,480,138400
6,5,1923,1124,1068,1,0,2,5,288,109500
7,6,1921,576,1710,2,0,3,9,480,140000
4,5,1915,888,1962,1,1,4,9,572,149500
6,8,1912,780,1560,1,1,3,7,0,159900
6,8,1920,662,1324,1,0,3,6,180,122000
5,5,1959,1422,1675,2,0,3,8,365,173000
5,5,1967,912,912,1,0,3,5,336,125000
5,7,1966,864,892,1,0,3,5,416,137900
6,7,1969,663,1352,1,1,4,7,299,158000
5,5,1968,864,864,1,0,2,4,280,137250
5,5,1968,720,1440,1,1,4,7,480,163000
7,5,1996,1306,2260,2,1,3,7,533,328000
4,7,1950,1067,1067,2,0,2,4,436,128000
3,4,1938,972,1610,2,0,4,8,480,124000
6,7,1950,663,1074,1,0,3,6,467,144500
5,6,1956,1144,1144,1,0,3,6,596,129000
4,6,1947,756,1531,1,0,3,8,209,127000
5,7,1954,1172,1172,1,0,3,5,366,128000
6,5,2009,1212,1212,2,0,3,6,460,186000
7,5,2009,1508,1508,1,0,1,5,572,308030
4,7,1946,0,930,1,0,2,6,308,84900
6,5,1985,741,1732,2,1,3,7,476,178000
7,5,1987,1433,1433,1,1,1,4,528,270000
6,7,1993,946,1802,2,1,3,8,1017,218000
7,5,1993,1050,1949,2,1,3,8,574,236000
6,6,1992,936,996,1,0,2,5,564,147000
8,5,2008,1694,1694,2,0,3,7,776,245350
7,5,2006,1187,1208,2,0,2,6,632,206000
7,5,2009,1226,1226,2,0,3,6,740,198900
7,5,2010,1222,1222,2,0,2,6,615,187000
7,5,1990,1673,3222,3,0,5,11,594,320000
6,8,1900,676,1445,2,0,3,6,484,138500
6,7,1971,1010,1052,1,0,3,6,440,155000
5,5,1996,870,965,1,0,2,4,580,159000
6,5,1998,804,1682,2,1,3,7,523,200500
5,8,1977,1026,1026,1,1,3,5,308,150000
5,6,1976,894,894,1,0,3,5,308,128200
5,6,1972,876,876,1,0,3,5,484,127000
8,5,2003,1978,1978,2,1,3,8,850,318000
7,6,2003,941,1829,2,1,3,7,613,237000
7,5,1997,1040,2098,2,1,4,9,621,240000
7,5,1998,1649,1661,2,0,3,6,598,224900
8,5,2003,1657,1668,2,0,3,8,502,232000
7,5,2004,1473,1484,2,0,3,7,606,213000
7,5,2004,1414,1414,2,0,3,6,494,185500
5,6,1954,381,992,1,0,3,6,319,155891
5,6,1968,1196,1196,1,0,3,6,336,144000
6,6,1975,1008,1096,1,0,3,5,352,125200
6,5,1976,1029,1117,1,0,3,6,672,107000
4,5,1958,960,960,1,0,3,5,0,90000
4,5,2003,1121,1121,2,0,2,5,440,140000
6,4,1945,735,1487,1,1,3,7,220,113000
5,6,1957,1216,1526,1,0,4,7,364,144500
5,6,1924,1026,1691,2,0,3,6,308,127000
5,2,1931,894,1666,1,0,3,7,0,100000
6,7,1919,804,2447,2,0,4,10,336,169000
7,6,1941,1528,2133,1,1,4,8,312,257500
7,9,1941,1152,2340,2,0,4,9,252,266500
7,8,1959,1902,1902,2,0,3,7,567,335000
7,6,1994,423,1652,2,1,3,6,473,203135
7,8,1959,1501,1801,2,0,1,6,484,289000
4,8,1922,796,1154,1,0,3,7,240,125500
2,5,1941,480,540,1,0,1,4,200,82000
6,5,1921,629,1107,1,0,2,5,625,110000
4,4,1920,698,1128,1,0,2,6,528,68400
4,7,1900,859,1178,1,0,2,7,384,102776
4,7,1896,756,952,1,0,3,5,330,50138
8,5,1998,1049,1916,2,1,3,8,741,254900
6,7,1977,1243,1285,2,0,3,6,473,190000
7,5,2003,1560,1560,2,0,3,7,573,201000
7,5,2008,1336,1346,2,0,3,6,660,220000
7,5,2009,1214,1214,2,0,2,6,520,179781
5,5,2006,384,1444,2,1,3,7,400,174000
8,5,2009,774,1968,2,1,4,8,680,269500
7,5,2002,817,1894,2,1,4,8,510,214900
8,5,2002,967,1908,2,1,4,9,431,202900
9,5,2008,2002,2018,2,0,3,10,746,378500
5,5,1965,1068,1264,1,0,2,7,528,169000
5,5,2004,1430,1430,2,0,3,7,624,173500
5,7,1971,864,874,1,0,3,5,352,130000
5,7,1984,833,833,1,0,2,5,495,149900
5,5,1991,624,1274,1,1,3,6,576,136000
5,5,1969,864,1479,2,0,5,8,275,161000
8,5,1994,1679,1803,2,1,3,6,482,285000
6,5,1993,1152,1797,2,1,3,7,616,231000
6,5,1956,882,882,1,0,2,5,502,124500
6,5,1974,1434,1434,2,0,4,7,528,157000
8,7,1972,1952,2704,2,1,4,9,538,345000
6,5,1997,945,1608,2,1,3,7,470,189500
7,5,1996,384,1628,2,1,3,7,390,189000
9,5,2006,1746,1746,2,0,3,7,758,377500
8,5,1998,1418,1478,2,0,2,5,495,240000
7,5,1998,384,1382,2,1,3,7,396,177500
7,5,1998,832,1718,2,1,3,7,427,185000
6,5,1998,952,1636,2,1,3,7,440,191000
6,7,1993,799,1571,2,1,3,7,380,178000
6,5,1993,1181,1190,2,0,3,6,430,166000
6,5,1994,702,1481,2,1,3,6,343,174000
7,5,1990,1424,1442,2,0,3,5,500,180500
9,5,2008,2216,2234,2,0,1,9,1166,501837
8,5,2008,2046,2046,2,1,3,7,834,372500
7,5,2005,1530,1530,2,0,3,7,430,260000
5,6,1977,1122,1934,2,1,3,6,567,185000
7,7,1980,845,2353,2,1,4,10,484,260000
6,5,1979,1362,1586,2,0,3,7,435,181000
7,5,1977,1386,1411,2,0,3,6,544,82500
6,6,1978,1427,1671,2,0,3,7,484,200000
6,5,1978,1140,1707,2,0,3,7,479,184000
8,5,1981,2524,2524,2,1,4,9,542,278000
7,5,1978,1271,1601,2,0,3,7,478,157000
7,5,1976,1090,1370,2,0,3,6,479,152000
7,5,2003,926,1884,2,1,3,7,581,240900
8,5,2009,832,1935,2,1,3,8,552,263435
6,6,1974,1116,1116,2,0,3,6,528,167900
7,5,1975,1176,1193,2,0,3,5,506,158000
6,5,1974,1064,1350,2,0,3,7,478,165000
6,8,1969,1026,1026,1,0,3,5,440,156000
4,6,1970,864,864,1,0,3,5,576,76500
4,6,1970,864,864,1,0,3,5,660,120500
4,7,1970,864,864,1,0,3,5,463,124500
4,6,1971,864,864,1,0,2,4,576,97000
4,7,1971,864,864,1,0,3,5,576,130000
5,5,1967,892,892,1,0,3,5,288,100000
10,5,2006,1700,1718,2,0,3,7,786,337500
9,5,2007,1776,2772,3,1,4,10,754,462000
9,5,2008,1926,3140,3,1,4,11,820,485000
10,5,2008,3094,2402,2,0,2,10,672,555000
9,5,2006,1652,1652,2,0,2,6,840,325000
8,5,2007,1566,1600,2,0,3,7,890,256300
8,5,2008,2042,2042,2,1,3,8,1390,253293
9,5,2009,1365,2690,2,1,3,8,864,398800
9,5,2008,1104,2184,2,1,3,10,836,335000
9,5,2008,2020,2020,2,0,3,7,896,404000
10,5,2009,2006,2020,2,1,3,9,900,402861
10,5,2008,1722,2296,2,1,3,10,842,451950
10,5,2007,2630,2674,2,1,2,8,762,610000
9,5,2008,1734,2822,3,1,4,12,1020,582933
9,5,2008,1736,1736,2,0,3,7,834,360000
8,5,2004,1782,1782,2,0,3,7,932,296000
8,5,2007,1508,2520,2,1,5,10,640,409900
8,5,2006,1709,1717,2,0,3,7,908,255500
9,5,2008,1739,1743,2,0,3,8,927,335000
8,5,2004,1713,1713,2,0,3,7,856,274900
9,5,2006,1504,1531,2,0,2,6,700,300000
9,5,2008,1774,1808,2,0,3,7,850,324000
9,5,2004,1462,2224,2,1,4,10,738,350000
8,5,2004,1836,1836,2,0,3,7,862,280000
8,5,2003,3206,1629,2,0,3,7,880,284000
7,5,2003,1760,1760,2,0,3,8,583,269500
7,5,2009,1502,1502,2,0,3,7,644,233170
10,5,2003,2392,2392,2,0,3,8,968,386250
9,5,2003,2452,2452,2,0,3,10,886,445000
8,5,2003,1082,2400,3,1,4,10,730,290000
8,5,2006,1598,1606,2,0,3,6,871,255900
10,5,2004,2492,2492,2,1,2,8,949,552000
8,5,2003,2200,2200,2,1,3,8,685,382500
8,5,2002,1712,1712,2,0,3,8,701,286500
7,5,2005,728,1456,2,1,3,8,390,184000
6,5,2005,745,1490,2,1,3,7,392,167800
6,5,2005,742,1484,2,1,3,8,390,174000
6,5,2005,684,1560,2,1,3,6,400,174000
7,5,2004,716,1432,2,1,3,6,432,188500
7,5,2004,384,1374,2,1,3,6,400,170000
7,5,2004,868,1630,2,1,3,7,436,189500
7,5,2004,846,1594,2,1,3,7,434,195500
7,5,2004,384,1374,2,1,3,7,400,167000
6,5,2000,982,1800,2,1,3,7,463,179000
6,5,2000,794,1514,2,1,3,7,394,190000
7,5,1999,384,1430,2,1,3,7,400,156000
7,6,1999,384,1430,2,1,3,7,410,168000
8,5,1999,1252,2365,2,1,3,8,856,337000
8,5,1995,1462,2794,2,1,4,9,810,403000
8,5,2000,1455,2687,2,1,4,10,810,327000
8,5,1998,1225,2612,2,1,4,8,676,336000
7,5,1996,1264,2344,2,1,3,7,889,265000
7,5,1993,1347,2646,2,1,4,9,656,260000
7,5,1995,1070,2061,2,1,3,7,647,260000
8,7,1994,1629,2448,2,1,4,8,711,402000
8,5,2008,1468,1468,2,0,3,6,898,244600
8,5,2008,1696,1696,2,0,3,7,972,275000
8,5,2008,1614,1658,2,1,3,7,726,257500
8,5,2008,1573,1578,2,0,3,7,840,287090
8,5,2007,1702,1702,2,0,3,7,844,275500
8,5,2006,1422,1432,2,0,3,7,492,245000
7,5,2005,1113,1971,2,1,3,8,689,253000
9,5,2005,2458,2490,2,0,2,9,795,468000
7,5,2009,900,1852,2,1,3,7,644,252678
8,5,2008,768,1590,2,1,3,6,676,210000
6,5,2009,1218,1218,2,0,2,4,676,208300
7,5,2008,1436,1436,2,0,3,6,529,225000
8,5,2009,1300,1314,2,0,3,6,552,229456
7,5,2008,1402,1402,2,0,3,7,625,229800
9,5,2007,1530,1530,2,0,3,7,984,250000
9,5,2009,1766,1766,2,1,2,7,478,370878
8,5,2006,1372,1448,2,0,2,6,692,238500
10,5,2008,1017,2007,2,1,3,10,812,310000
8,5,2006,900,1795,2,1,3,8,782,270000
8,5,2005,1082,1953,2,1,3,9,1043,252000
7,5,2006,1092,1550,2,0,2,7,438,241000
8,5,2008,1836,1836,2,0,3,8,517,264500
7,5,2006,1652,1662,2,0,3,8,711,291000
7,5,2003,912,2094,2,1,4,8,615,263000
7,5,2004,1221,1221,2,0,2,6,400,185000
7,5,2003,1553,1553,2,0,3,6,588,234500
7,5,2003,812,1653,2,1,3,6,628,209000
7,6,2007,1218,1218,1,1,3,6,576,159000
7,5,2006,1141,1141,1,1,3,6,484,152000
6,5,2004,1158,1158,1,1,3,5,0,143500
7,5,2004,835,1812,2,1,3,8,478,193000
8,5,2004,1512,1512,2,0,3,6,845,203000
7,5,2003,1176,1200,2,0,2,5,555,184900
7,5,2004,1114,1114,1,1,3,6,576,159000
5,5,2004,1114,1114,1,1,3,6,0,142000
5,5,2003,1114,1114,2,0,3,6,576,153000
7,5,2008,1450,1450,2,0,2,6,788,224243
7,5,1996,913,2122,2,1,4,8,559,220000
8,5,2005,1844,1844,2,0,2,7,620,257000
7,5,2001,1454,1434,2,0,3,6,527,189000
6,6,1992,816,1730,2,1,3,6,528,171500
7,5,1994,754,1540,2,1,3,6,495,184000
4,4,1950,721,841,1,0,2,4,294,82000
5,5,1962,980,980,1,0,3,5,400,110000
5,6,1977,980,980,1,0,3,6,484,135000
5,6,1961,864,1144,1,0,3,6,264,131400
5,5,1965,864,864,1,0,3,5,360,62383
5,6,1962,912,912,1,0,3,6,252,123000
7,5,1981,1740,1740,1,1,2,7,540,241600
8,5,1976,392,2499,2,1,4,5,527,180500
6,6,1968,727,1556,1,1,4,8,441,154000
6,7,1967,932,2640,2,1,5,8,515,256900
5,5,1969,1288,1336,2,0,3,6,502,163000
6,5,1969,1216,1216,1,0,3,5,336,113000
6,5,1977,1350,1334,2,0,2,6,630,167900
7,5,1998,1650,1680,2,0,3,7,583,213250
8,6,2001,810,1665,2,1,3,6,528,227000
5,6,1967,864,864,1,0,2,5,312,130000
5,5,1967,1568,1568,1,1,3,7,440,143000
5,6,1965,925,925,1,0,2,5,429,117500
7,5,1974,1165,2061,2,1,4,8,498,168500
4,7,1960,894,894,1,0,2,5,396,141500
5,7,1959,864,864,1,0,3,5,308,118000
6,6,1959,864,864,1,0,2,5,300,127500
6,6,1964,1516,1516,1,1,3,6,472,167000
5,6,1961,1313,1313,1,1,3,6,610,153000
5,5,1964,1292,1292,1,1,3,6,520,145100
5,6,1959,1041,1041,1,0,3,6,270,124500
6,6,1961,1208,1576,1,0,4,7,368,174500
5,5,1955,960,960,1,0,2,5,330,122000
4,7,1940,420,708,1,0,2,5,0,82500
6,4,1953,1505,1505,1,0,2,6,505,149500
6,5,1967,1680,1691,1,0,2,5,550,175000
6,5,1953,1416,1644,1,0,3,7,418,167000
5,6,1956,1050,1050,1,0,2,5,338,128900
6,8,1950,856,1668,1,1,3,6,271,140000
5,7,1950,1113,1113,1,0,3,5,264,147000
6,6,1961,1453,1453,2,0,3,6,530,187500
6,8,1966,1562,1567,2,0,2,5,542,256000
7,6,1965,768,1986,2,1,3,7,486,205000
6,6,1968,896,2142,2,1,4,8,509,193500
6,3,1968,1392,1392,1,0,2,5,576,110000
5,7,1956,1169,1144,1,0,3,6,286,150000
6,3,1957,1478,1478,1,1,3,6,442,156500
6,8,1959,988,988,2,0,3,6,297,149500
6,6,1958,1240,1632,2,0,3,6,338,139000
6,7,1958,1215,1215,1,0,3,6,297,155000
5,5,1956,1202,1202,1,0,3,6,304,120000
5,5,1955,1382,1382,1,0,3,6,350,153000
4,5,1956,1200,1200,1,0,3,6,294,144000
6,5,1962,1362,1382,1,0,3,6,884,176000
5,6,1954,1297,1297,1,0,3,5,498,153000
6,7,1954,1062,1062,1,0,3,6,297,131000
5,6,1953,608,1319,1,0,3,5,270,123000
5,5,1951,631,1112,1,0,2,5,480,126000
4,5,1955,1005,1005,1,0,2,5,672,115000
5,7,1951,1008,1363,1,0,2,6,288,164900
5,6,1945,793,793,1,0,2,4,240,113000
5,8,1952,1031,1031,1,0,2,5,230,145500
5,5,1953,0,1210,1,1,2,7,616,102900
7,7,1948,699,1527,1,1,3,6,410,152500
5,6,1950,1200,1200,1,0,3,6,246,129900
6,6,1948,972,972,1,0,2,5,240,132000
3,5,1958,792,792,1,0,2,4,366,99900
5,7,1916,660,1656,2,1,3,8,180,135000
5,7,1939,676,1352,2,0,4,7,720,149000
4,8,1900,405,1039,1,0,2,6,281,114000
5,8,1924,768,792,1,0,2,5,240,109500
5,7,1925,1054,1078,1,0,3,6,264,125000
4,5,1915,1313,2377,2,0,3,8,528,142900
7,9,1910,560,1690,2,0,4,5,624,156500
4,6,1920,840,1374,1,0,2,6,338,105000
3,5,1890,630,725,1,1,1,4,320,78500
6,7,1963,1380,1380,1,1,3,6,364,154000
6,4,1967,1040,1040,1,0,3,6,480,163000
6,9,1958,951,951,1,0,2,6,480,143500
6,6,1957,1105,1105,1,0,3,5,308,135000
5,7,1957,992,1306,1,0,2,5,756,153000
6,6,1958,160,1142,1,0,2,5,384,113500
5,7,1949,832,1268,1,0,3,6,288,133000
5,4,1950,1208,1904,1,1,3,7,240,138000
5,6,1958,1041,1041,1,0,3,6,294,128000
5,6,1958,1029,1339,1,0,3,6,294,139000
5,7,1952,732,732,1,0,2,4,240,118900
5,5,1959,528,1183,1,0,3,6,288,138000
5,5,1959,1148,1148,1,0,3,6,672,132500
4,7,1949,832,1461,2,0,4,6,384,133500
6,7,1948,864,1495,1,0,3,6,576,135000
6,5,1964,780,1806,1,1,4,8,483,144750
6,6,1963,1045,1045,1,0,3,6,264,127000
5,6,1910,440,1230,1,1,2,5,440,110000
6,8,1935,901,1378,1,0,3,6,162,128900
5,6,1941,676,1131,1,1,3,5,200,66500
5,8,1910,240,1306,1,1,3,6,472,130000
5,8,1910,504,1464,2,0,3,7,0,129000
5,6,1939,690,1558,1,1,3,7,400,150000
7,8,1946,651,1389,1,1,3,6,240,135000
5,7,1950,768,1328,1,1,3,6,308,129500
4,6,1920,861,861,1,0,2,5,288,80000
5,8,1938,190,886,1,0,2,4,273,91300
5,8,1923,624,792,1,0,2,5,287,99500
4,4,1910,677,1510,2,0,3,7,720,87500
5,7,1947,720,1284,1,1,2,5,240,110000
6,7,1900,917,2007,2,0,3,8,357,160000
6,7,1917,624,1288,1,0,3,5,280,119000
8,9,1882,916,1742,1,1,4,8,424,168000
7,9,1920,650,1482,1,0,3,7,324,143000
5,6,1890,1088,1869,1,0,2,7,456,124900
6,6,1920,972,1480,1,0,3,6,207,119000
6,7,1910,741,1521,1,0,4,8,640,146500
5,6,1923,1324,1576,1,1,3,6,528,223500
5,7,1930,297,1654,2,0,3,7,336,137000
4,6,1936,672,1324,1,0,3,6,240,128000
6,9,1937,698,1176,1,0,2,4,624,134900
5,8,1925,884,1348,1,0,3,5,216,117000
6,6,1939,780,1412,1,0,4,6,280,132500
5,5,1924,468,1142,1,0,3,6,320,93000
6,7,1926,884,904,1,0,2,4,180,119000
